Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
41,2.0,0.0,0.0,177.0,1.0,177.0,2508.0,0.1,80.70699999999987,0.0,0.0,444.8758432865143,,,,,,,,,,,,,,,,,,,,,31.23452186583241,22.875736496803086,75.32907244556635,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,316.0,2.0,139.0,2647.0,0.1,91.20599999999993,0.0,0.0,457.78742718696594,,,,,,,,,,,,,,,,,,,,,37.04624675902679,26.696619218276798,86.22894335826842,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,362.0,3.0,46.0,2693.0,0.1,28.80600000000002,0.0,0.0,462.2647285461426,,,,,,,,,,,,,,,,,,,,,10.071297437255353,9.739894402137425,28.39949090019575,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,411.0,4.0,49.0,2742.0,0.1,25.207000000000026,0.0,0.0,467.1064293384552,,,,,,,,,,,,,,,,,,,,,7.692765158608981,8.260439477196183,24.879789205850656,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,464.0,5.0,53.0,2795.0,0.1,39.50599999999999,0.0,0.0,472.2950839996338,,,,,,,,,,,,,,,,,,,,,15.710740016139136,13.137368968220184,38.750793615582175,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,490.0,6.0,26.0,2821.0,0.1,12.104999999999995,0.0,0.0,475.2849631309509,,,,,,,,,,,,,,,,,,,,,3.7407594261576316,4.1641432888514345,12.03179180674158,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,552.0,7.0,62.0,2883.0,0.1,30.510000000000034,0.0,0.0,481.1198272705078,,,,,,,,,,,,,,,,,,,,,8.869252091530981,9.76435458983192,30.02011658337524,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,615.0,8.0,63.0,2946.0,0.1,35.607,0.0,0.0,487.17932081222534,,,,,,,,,,,,,,,,,,,,,12.519024898805204,11.30690305815923,34.88804262858982,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,799.0,9.0,184.0,3130.0,0.1,123.00599999999991,0.0,0.0,503.7836720943451,,,,,,,,,,,,,,,,,,,,,48.833396944037716,33.33243274097802,114.24903879084002,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,903.0,10.0,104.0,3234.0,0.1,70.10899999999995,0.0,0.0,513.3147957324982,,,,,,,,,,,,,,,,,,,,,25.249030250318558,22.141019170446455,67.61826977524763,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,965.0,11.0,62.0,3296.0,0.1,33.906,0.0,0.0,519.4621059894562,,,,,,,,,,,,,,,,,,,,,12.456806739017479,10.767174471826468,33.20004487187981,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1063.0,12.0,98.0,3394.0,0.1,64.30700000000002,0.0,0.0,528.5017325878143,,,,,,,,,,,,,,,,,,,,,26.921184260296222,19.27301441862257,61.792246643531385,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1200.0,13.0,137.0,3531.0,0.1,96.10899999999998,0.0,0.0,540.9444434642792,,,,,,,,,,,,,,,,,,,,,39.67684428585076,28.803386268353197,90.85489126046812,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1457.0,14.0,257.0,3788.0,0.1,146.30799999999996,0.0,0.0,563.7893619537354,,,,,,,,,,,,,,,,,,,,,64.8251315516233,39.731074640999935,129.90762653667971,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1523.0,15.0,66.0,3854.0,0.1,37.506,0.0,0.0,570.341260433197,,,,,,,,,,,,,,,,,,,,,14.997350435968038,12.191349538658962,36.589316915740675,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1582.0,16.0,59.0,3913.0,0.1,25.105000000000008,0.0,0.0,575.9944865703583,,,,,,,,,,,,,,,,,,,,,9.87582853576595,6.860353552298111,24.571444433813003,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1633.0,17.0,51.0,3964.0,0.1,25.607000000000024,0.0,0.0,580.8961746692657,,,,,,,,,,,,,,,,,,,,,7.920907065332782,8.216342793431329,25.25351551718688,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1713.0,18.0,80.0,4044.0,0.1,54.208,0.0,0.0,588.3371415138245,,,,,,,,,,,,,,,,,,,,,19.412257182180713,17.71741448386787,52.760487640218365,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1844.0,19.0,131.0,4175.0,0.1,82.80700000000002,0.0,0.0,600.3691971302032,,,,,,,,,,,,,,,,,,,,,32.400430959966414,23.312641284872683,78.719904633607,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1896.0,20.0,52.0,4227.0,0.1,30.508000000000024,0.0,0.0,605.6153864860535,,,,,,,,,,,,,,,,,,,,,9.995186301392902,10.230827734748607,30.048316897806284,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
